Brand,Shoe Name,Traction,Cushioning,Lockdown,Lateral Stability,Torsion Support,Weight,Durability,Ventilation,Avg,Overall Rating,Guard,Wing,Big,Outdoor,Reviews,Year of Release,MSRP,Weight per shoe (US9),Heel-to-toe Offset,Recent Release,Asia Brand?,Budget Shoe? ($100),Sizing Recommendation,Sizing Notes
NIKE,Cosmic Unity 2,87,86,80,70,69,78,79,72,84,80,80,82,79,77,20,2022-,$160,370 - 390g,[5 - 6mm est.],Yes,Non-Asia,No,Stay true to size,Non-EP: narrow; EP: very versatile; wide footers may go up half; no noticeable heel-slip
NIKE,Fly By Mid 3,82,74,74,71,69,93,83,75,77,74,74,77,69,82,8,2022-,$65,330 - 350g,[5 - 7mm est.],Yes,Non-Asia,Yes,Go down half size?,Runs long
NIKE,Giannis Immortality,83,70,74,72,72,90,84,83,76,72,73,75,65,79,20,2021-,$80,320 - 340g,,No,Non-Asia,Yes,,
NIKE,Heritage N7,89,81,82,85,87,74,81,54,84,84,82,86,85,81,17,2019-,$130,400 - 420g,,No,Non-Asia,No,,
NIKE,Hyperdunk 2016 TB,86,84,85,84,85,75,82,77,85,86,84,87,87,78,16,2016-,$135,390 - 400g,7 - 8mm,No,Non-Asia,No,,
NIKE,Hyperdunk 2017 (FK),94,80,88,84,88,89,76,81,87,90,90,92,85,67,33,2017-,$160,360 - 380g,6 - 7mm,No,Non-Asia,No,Stay true to size,Snug
NIKE,Hyperdunk X,81,84,80,72,76,86,70,74,82,80,78,82,80,73,26,2018-,$130,340 - 360g,5 - 7mm,No,Non-Asia,No,,
NIKE,KD 10,77,89,79,76,88,87,63,83,82,82,76,87,86,66,14,2017-,$150,350 - 370g,,No,Non-Asia,No,,
NIKE,KD 11,83,88,69,58,67,68,71,78,80,65,59,70,70,75,22,2018-,$150,410 - 420g,7 - 8mm,No,Non-Asia,No,,
NIKE,KD 12,85,94,87,82,79,80,61,62,89,88,86,89,90,66,35,2019-,$150,390 - 410g,5 - 6mm,No,Non-Asia,No,,
NIKE,KD 13,88,94,84,69,82,82,78,71,88,86,82,89,86,80,33,2020-,$150,370 - 380g,7 - 9mm,No,Non-Asia,No,Stay true to size,Runs narrow
NIKE,KD 14,86,91,85,83,87,80,74,71,87,88,85,90,90,76,36,2021-,$150,390 - 410g,7 - 8mm,No,Non-Asia,No,Stay true to size,Wider and more forgiving than usual KDs
NIKE,KD 15,88,88,75,72,89,76,72,79,84,81,76,84,83,75,30,2022-,$150,370 - 390g,7 - 8mm,Yes,Non-Asia,No,Go down half size?,Slightly long and narrow; go down to help with heel-slip; similar problems with the EP version
NIKE,KD 9 Elite,88,92,78,76,78,84,70,79,86,84,81,85,85,72,11,2017-,$150,,,No,Non-Asia,No,,
NIKE,KD Trey 5 7,86,80,72,59,73,88,84,82,79,71,69,75,69,84,13,2019-,$90,,,No,Non-Asia,Yes,,
NIKE,KD Trey 5 8,81,78,75,61,66,87,86,80,78,70,68,74,68,85,13,2020-,$90,,,No,Non-Asia,Yes,,
NIKE,KD Trey 5 9,80,80,79,73,73,88,75,72,80,79,77,81,78,78,15,2021-,$90,330 - 350g,,No,Non-Asia,Yes,,
NIKE,Kobe 1 Protro,82,85,75,87,87,68,82,57,81,78,73,81,85,79,26,2018-,$175,,9 - 10mm,No,Non-Asia,No,,
NIKE,Kobe 11 Elite L,79,85,85,77,69,88,64,81,83,83,81,85,82,46,19,2016-,$200,,,No,Non-Asia,No,,
NIKE,Kobe 4 Protro,87,82,86,85,89,89,67,74,85,89,89,91,86,47,23,2019-,$175,350 - 370g,6 - 7mm,No,Non-Asia,No,Stay true to size,Snug toebox
NIKE,Kobe 5 Protro,85,81,93,84,86,92,64,65,86,91,91,93,87,45,22,2020-,$180,330 - 340g,6 - 7mm,No,Non-Asia,No,Stay true to size,Very snug and narrow
NIKE,Kobe 6 Protro,87,82,88,83,84,90,61,79,86,89,89,91,86,43,23,2021-,$180,320 - 340g,[5 - 7mm est.],No,Non-Asia,No,Stay true to size,Fits snug
NIKE,Kobe 8 System,91,80,86,77,82,97,62,87,86,88,89,90,82,51,22,2013-,$140,260 - 280g,[3 - 5mm est.],No,Non-Asia,No,Stay true to size,
NIKE,Kobe 9 EM Low,97,85,91,77,73,93,72,76,91,90,93,91,84,58,24,2014-,$160,330 - 350g,[3 - 5mm est.],No,Non-Asia,No,Stay true to size,
NIKE,Kobe AD 1,78,72,77,74,70,84,68,65,76,72,71,74,68,63,17,2016-,$160,340 - 350g,5 - 6mm,No,Non-Asia,No,,
NIKE,Kobe AD Exodus,83,83,80,74,63,85,59,85,82,78,78,78,77,62,24,2018-,$140,330 - 340g,9 - 10mm,No,Non-Asia,No,,
NIKE,Kobe AD Mid,86,84,77,83,85,85,62,51,83,83,82,85,85,65,24,2017-,$150,340 - 350g,[5 - 7mm est.],No,Non-Asia,No,,
NIKE,Kobe AD NXT,87,84,85,87,68,83,68,78,85,85,87,84,83,58,17,2017-,$200,350 - 370g,[3 - 5mm est.],No,Non-Asia,No,,
NIKE,Kobe AD NXT 360,75,86,87,69,69,96,54,94,83,81,79,83,80,40,20,2018-,$200,310 - 320g,3 - 4mm,No,Non-Asia,No,,
NIKE,Kobe AD NXT FF,92,82,84,79,68,82,58,80,86,83,85,84,80,49,15,2019-,$200,390 - 410g,[3 - 5mm est.],No,Non-Asia,No,,
NIKE,Kybrid S2,88,72,92,87,90,80,82,59,84,86,87,88,78,76,36,2020-,$140,400 - 420g,6 - 8mm,No,Non-Asia,No,,
NIKE,Kyrie 1,79,74,78,72,78,87,78,72,77,75,73,78,72,75,21,2014-,$110,340 - 350g,,No,Non-Asia,No,,
NIKE,Kyrie 2,90,64,85,81,76,83,73,69,80,76,79,78,64,65,19,2015-,$120,380 - 400g,,No,Non-Asia,No,,
NIKE,Kyrie 3,92,64,83,77,78,87,80,70,80,76,79,78,64,71,27,2016-,$120,360 - 380g,6 - 7mm,No,Non-Asia,No,,
NIKE,Kyrie 4,84,77,82,84,80,80,76,70,81,81,81,82,79,74,27,2017-,$120,380 - 400g,6 - 7mm,No,Non-Asia,No,,
NIKE,Kyrie 5,83,72,87,82,72,80,77,69,81,79,81,80,73,72,38,2018-,$130,370 - 390g,3 - 4mm,No,Non-Asia,No,,
NIKE,Kyrie 6,86,79,88,83,77,75,77,64,85,84,84,85,83,76,27,2019-,$130,420 - 430g,3 - 4mm,No,Non-Asia,No,,
NIKE,Kyrie 7,90,81,86,83,64,88,75,68,85,84,87,85,79,75,31,2020-,$140,360 - 370g,4 - 5mm,No,Non-Asia,No,,
NIKE,Kyrie 8,84,83,86,88,84,84,86,58,84,87,87,88,87,79,17,2022-,$140,360 - 380g,[3 - 5mm est.],Yes,Non-Asia,No,Stay true to size,Narrow toebox; not for especially thick or wide feet.
NIKE,Kyrie Flytrap 1,88,62,76,74,73,93,88,76,76,70,73,73,58,78,13,2018-,$80,310 - 320g,6 - 7mm,No,Non-Asia,Yes,,
NIKE,Kyrie Flytrap 2,87,57,77,65,74,87,85,83,74,63,64,68,49,72,16,2018-19,$80,330 - 350g,[5 - 7mm est.],No,Non-Asia,Yes,,
NIKE,Kyrie Flytrap 3,82,55,80,76,75,84,81,75,72,64,66,69,53,69,14,2019-20,$80,350 - 360g,[5 - 7mm est.],No,Non-Asia,Yes,,
NIKE,Kyrie Flytrap 4,78,68,74,70,68,92,82,83,73,69,68,72,62,78,24,2020-21,$90,320 - 340g,[5 - 7mm est.],No,Non-Asia,Yes,,
NIKE,Kyrie Infinity,78,81,80,80,59,80,72,75,79,74,73,74,75,72,32,2021-,$140,370 - 380g,[4 -5mm est.],No,Non-Asia,No,,
NIKE,Kyrie Low 1,84,72,80,71,82,85,59,79,79,77,76,80,71,61,11,2018-,$110,360 - 370g,5 - 6mm,No,Non-Asia,No,,
